HGNC ID (gene)	Approved symbol	Approved name	Previous symbols	Aliases	Chromosome
HGNC:49603	IGHV3-64D	immunoglobulin heavy variable 3-64D			14q32.33
HGNC:5477	IGH	immunoglobulin heavy locus	"IGHDY1,IGH@"		14q32.33
HGNC:5550	IGHV1-2	immunoglobulin heavy variable 1-2		V35	14q32.33
HGNC:5552	IGHV1-3	immunoglobulin heavy variable 1-3		VI-3B	14q32.33
HGNC:5546	IGHV1-12	immunoglobulin heavy variable 1-12 (pseudogene)			14q32.33
HGNC:5559	IGHV1-8	immunoglobulin heavy variable 1-8			14q32.33 not on reference assembly
HGNC:5547	IGHV1-14	immunoglobulin heavy variable 1-14 (pseudogene)			14q32.33
HGNC:5548	IGHV1-17	immunoglobulin heavy variable 1-17 (pseudogene)			14q32.33
HGNC:5549	IGHV1-18	immunoglobulin heavy variable 1-18			14q32.33
HGNC:5551	IGHV1-24	immunoglobulin heavy variable 1-24			14q32.33
HGNC:5553	IGHV1-45	immunoglobulin heavy variable 1-45			14q32.33
HGNC:5554	IGHV1-46	immunoglobulin heavy variable 1-46			14q32.33
HGNC:5555	IGHV1-58	immunoglobulin heavy variable 1-58			14q32.33
HGNC:5556	IGHV1-67	immunoglobulin heavy variable 1-67 (pseudogene)			14q32.33
HGNC:5557	IGHV1-68	immunoglobulin heavy variable 1-68 (pseudogene)			14q32.33
HGNC:5558	IGHV1-69	immunoglobulin heavy variable 1-69	IGHV1-E		14q32.33
HGNC:49601	IGHV1-69D	immunoglobulin heavy variable 1-69D			14q32.33
HGNC:5560	IGHV1-38-4	immunoglobulin heavy variable 1-38-4 (non-functional)	IGHV1-C	IGHV1-c	14q32.33 not on reference assembly
HGNC:5562	IGHV1-69-2	immunoglobulin heavy variable 1-69-2	IGHV1-F	IGHV1-f	14q32.33
HGNC:5576	IGHV2-5	immunoglobulin heavy variable 2-5			14q32.33
HGNC:5574	IGHV2-10	immunoglobulin heavy variable 2-10 (pseudogene)			14q32.33 not on reference assembly
HGNC:5575	IGHV2-26	immunoglobulin heavy variable 2-26			14q32.33
HGNC:5577	IGHV2-70	immunoglobulin heavy variable 2-70			14q32.33
HGNC:49602	IGHV2-70D	immunoglobulin heavy variable 2-70D			14q32.33
HGNC:5613	IGHV3-6	immunoglobulin heavy variable 3-6 (pseudogene)			14q32.33
HGNC:5620	IGHV3-7	immunoglobulin heavy variable 3-7			14q32.33
HGNC:5628	IGHV3-9	immunoglobulin heavy variable 3-9			14q32.33
HGNC:5580	IGHV3-11	immunoglobulin heavy variable 3-11			14q32.33
HGNC:5581	IGHV3-13	immunoglobulin heavy variable 3-13			14q32.33
HGNC:5582	IGHV3-15	immunoglobulin heavy variable 3-15			14q32.33
HGNC:5583	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)			14q32.33
HGNC:5584	IGHV3-19	immunoglobulin heavy variable 3-19 (pseudogene)			14q32.33
HGNC:5585	IGHV3-20	immunoglobulin heavy variable 3-20			14q32.33
HGNC:5586	IGHV3-21	immunoglobulin heavy variable 3-21			14q32.33
HGNC:5587	IGHV3-22	immunoglobulin heavy variable 3-22 (pseudogene)			14q32.33
HGNC:5588	IGHV3-23	immunoglobulin heavy variable 3-23			14q32.33
HGNC:5589	IGHV3-25	immunoglobulin heavy variable 3-25 (pseudogene)			14q32.33
HGNC:5590	IGHV3-29	immunoglobulin heavy variable 3-29 (pseudogene)			14q32.33
HGNC:5591	IGHV3-30	immunoglobulin heavy variable 3-30			14q32.33
HGNC:5592	IGHV3-30-2	immunoglobulin heavy variable 3-30-2 (pseudogene)			14q32.33
HGNC:5593	IGHV3-30-3	immunoglobulin heavy variable 3-30-3			14q32.33 not on reference assembly
HGNC:5594	IGHV3-30-5	immunoglobulin heavy variable 3-30-5			14q32.33 not on reference assembly
HGNC:5595	IGHV3-32	immunoglobulin heavy variable 3-32 (pseudogene)			14q32.33
HGNC:5596	IGHV3-33	immunoglobulin heavy variable 3-33			14q32.33
HGNC:5597	IGHV3-33-2	immunoglobulin heavy variable 3-33-2 (pseudogene)			14q32.33
HGNC:5598	IGHV3-35	immunoglobulin heavy variable 3-35 (non-functional)			14q32.33
HGNC:5599	IGHV3-36	immunoglobulin heavy variable 3-36 (pseudogene)			14q32.33
HGNC:5600	IGHV3-37	immunoglobulin heavy variable 3-37 (pseudogene)			14q32.33
HGNC:5601	IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional)			14q32.33
HGNC:5602	IGHV3-41	immunoglobulin heavy variable 3-41 (pseudogene)			14q32.33
HGNC:5603	IGHV3-42	immunoglobulin heavy variable 3-42 (pseudogene)			14q32.33
HGNC:5604	IGHV3-43	immunoglobulin heavy variable 3-43			14q32.33
HGNC:50322	IGHV3-43D	immunoglobulin heavy variable 3-43D			14q32.33 not on reference assembly
HGNC:5605	IGHV3-47	immunoglobulin heavy variable 3-47 (pseudogene)			14q32.33
HGNC:5606	IGHV3-48	immunoglobulin heavy variable 3-48			14q32.33
HGNC:5607	IGHV3-49	immunoglobulin heavy variable 3-49			14q32.33
HGNC:5608	IGHV3-50	immunoglobulin heavy variable 3-50 (pseudogene)			14q32.33
HGNC:5609	IGHV3-52	immunoglobulin heavy variable 3-52 (pseudogene)			14q32.33
HGNC:5610	IGHV3-53	immunoglobulin heavy variable 3-53			14q32.33
HGNC:5611	IGHV3-54	immunoglobulin heavy variable 3-54 (pseudogene)			14q32.33
HGNC:5612	IGHV3-57	immunoglobulin heavy variable 3-57 (pseudogene)			14q32.33
HGNC:5614	IGHV3-60	immunoglobulin heavy variable 3-60 (pseudogene)			14q32.33
HGNC:5615	IGHV3-62	immunoglobulin heavy variable 3-62 (pseudogene)			14q32.33
HGNC:5616	IGHV3-63	immunoglobulin heavy variable 3-63 (pseudogene)			14q32.33
HGNC:5617	IGHV3-64	immunoglobulin heavy variable 3-64			14q32.33
HGNC:5618	IGHV3-65	immunoglobulin heavy variable 3-65 (pseudogene)			14q32.33
HGNC:5619	IGHV3-66	immunoglobulin heavy variable 3-66			14q32.33
HGNC:5621	IGHV3-71	immunoglobulin heavy variable 3-71 (pseudogene)	IGHV3-G	IGHV3-g	14q32.33
HGNC:5622	IGHV3-72	immunoglobulin heavy variable 3-72			14q32.33
HGNC:5623	IGHV3-73	immunoglobulin heavy variable 3-73			14q32.33
HGNC:5624	IGHV3-74	immunoglobulin heavy variable 3-74			14q32.33
HGNC:5625	IGHV3-75	immunoglobulin heavy variable 3-75 (pseudogene)			14q32.33
HGNC:5626	IGHV3-76	immunoglobulin heavy variable 3-76 (pseudogene)			14q32.33
HGNC:5627	IGHV3-79	immunoglobulin heavy variable 3-79 (pseudogene)			14q32.33
HGNC:5629	IGHV3-38-3	immunoglobulin heavy variable 3-38-3 (non-functional)	IGHV3-D	IGHV3-d	14q32.33 not on reference assembly
HGNC:5631	IGHV3-69-1	immunoglobulin heavy variable 3-69-1 (pseudogene)	IGHV3-H	IGHV3-h	14q32.33
HGNC:5652	IGHV4-4	immunoglobulin heavy variable 4-4			14q32.33
HGNC:5645	IGHV4-28	immunoglobulin heavy variable 4-28			14q32.33
HGNC:5646	IGHV4-30-1	immunoglobulin heavy variable 4-30-1			14q32.33
HGNC:5647	IGHV4-30-2	immunoglobulin heavy variable 4-30-2		"IGHV4-3,IGHV4302"	14q32.33
HGNC:5648	IGHV4-30-4	immunoglobulin heavy variable 4-30-4		"IGHV4-3,IGHV4304"	14q32.33 not on reference assembly
HGNC:5649	IGHV4-31	immunoglobulin heavy variable 4-31			14q32.33 not on reference assembly
HGNC:5650	IGHV4-34	immunoglobulin heavy variable 4-34			14q32.33
HGNC:5651	IGHV4-39	immunoglobulin heavy variable 4-39			14q32.33
HGNC:5653	IGHV4-55	immunoglobulin heavy variable 4-55 (pseudogene)			14q32.33
HGNC:5654	IGHV4-59	immunoglobulin heavy variable 4-59			14q32.33
HGNC:5655	IGHV4-61	immunoglobulin heavy variable 4-61			14q32.33
HGNC:5656	IGHV4-80	immunoglobulin heavy variable 4-80 (pseudogene)			14q32.33
HGNC:5657	IGHV4-38-2	immunoglobulin heavy variable 4-38-2	IGHV4-B		14q32.33 not on reference assembly
HGNC:5659	IGHV5-51	immunoglobulin heavy variable 5-51			14q32.33
HGNC:5660	IGHV5-78	immunoglobulin heavy variable 5-78 (pseudogene)			14q32.33
HGNC:5661	IGHV5-10-1	immunoglobulin heavy variable 5-10-1	IGHV5-A	IGHV5-a	14q32.33
HGNC:5662	IGHV6-1	immunoglobulin heavy variable 6-1			14q32.33
HGNC:5665	IGHV7-4-1	immunoglobulin heavy variable 7-4-1			14q32.33
HGNC:5666	IGHV7-40	immunoglobulin heavy variable 7-40 (pseudogene)			14q32.33
HGNC:5663	IGHV7-27	immunoglobulin heavy variable 7-27 (pseudogene)			14q32.33
HGNC:5667	IGHV7-56	immunoglobulin heavy variable 7-56 (pseudogene)			14q32.33
HGNC:5664	IGHV7-34-1	immunoglobulin heavy variable 7-34-1 (pseudogene)			14q32.33
