"ensembl_gene_id"	"description"	"chromosome_name"	"hgnc_symbol"	"Sourcelist"
"ENSG00000198899"	"ENSG00000198899"	"mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]"	"MT"	"MT-ATP6"	"mtOXPHOS"
"ENSG00000228253"	"ENSG00000228253"	"mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]"	"MT"	"MT-ATP8"	"mtOXPHOS"
"ENSG00000198727"	"ENSG00000198727"	"mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]"	"MT"	"MT-CYB"	"mtOXPHOS"
"ENSG00000198804"	"ENSG00000198804"	"mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]"	"MT"	"MT-CO1"	"mtOXPHOS"
"ENSG00000198712"	"ENSG00000198712"	"mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]"	"MT"	"MT-CO2"	"mtOXPHOS"
"ENSG00000198938"	"ENSG00000198938"	"mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]"	"MT"	"MT-CO3"	"mtOXPHOS"
"ENSG00000198888"	"ENSG00000198888"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]"	"MT"	"MT-ND1"	"mtOXPHOS"
"ENSG00000198763"	"ENSG00000198763"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]"	"MT"	"MT-ND2"	"mtOXPHOS"
"ENSG00000198840"	"ENSG00000198840"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]"	"MT"	"MT-ND3"	"mtOXPHOS"
"ENSG00000198886"	"ENSG00000198886"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]"	"MT"	"MT-ND4"	"mtOXPHOS"
"ENSG00000212907"	"ENSG00000212907"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]"	"MT"	"MT-ND4L"	"mtOXPHOS"
"ENSG00000198786"	"ENSG00000198786"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"	"MT"	"MT-ND5"	"mtOXPHOS"
"ENSG00000198695"	"ENSG00000198695"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"	"MT"	"MT-ND6"	"mtOXPHOS"
"ENSG00000003509"	"ENSG00000003509"	"NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"	"2"	"NDUFAF7"	"nuOXPHOS"
"ENSG00000004779"	"ENSG00000004779"	"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"	"16"	"NDUFAB1"	"nuOXPHOS"
"ENSG00000006695"	"ENSG00000006695"	"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]"	"17"	"COX10"	"nuOXPHOS"
"ENSG00000010256"	"ENSG00000010256"	"ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]"	"3"	"UQCRC1"	"nuOXPHOS"
"ENSG00000014919"	"ENSG00000014919"	"cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]"	"10"	"COX15"	"nuOXPHOS"
"ENSG00000023228"	"ENSG00000023228"	"NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]"	"2"	"NDUFS1"	"nuOXPHOS"
"ENSG00000065518"	"ENSG00000065518"	"NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]"	"3"	"NDUFB4"	"nuOXPHOS"
"ENSG00000073578"	"ENSG00000073578"	"succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]"	"5"	"SDHA"	"nuOXPHOS"
"ENSG00000074582"	"ENSG00000074582"	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"	"2"	"BCS1L"	"nuOXPHOS"
"ENSG00000090266"	"ENSG00000090266"	"NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]"	"7"	"NDUFB2"	"nuOXPHOS"
"ENSG00000099624"	"ENSG00000099624"	"ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]"	"19"	"ATP5F1D"	"nuOXPHOS"
"ENSG00000099795"	"ENSG00000099795"	"NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]"	"19"	"NDUFB7"	"nuOXPHOS"
"ENSG00000101019"	"ENSG00000101019"	"ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]"	"20"	"UQCC1"	"nuOXPHOS"
"ENSG00000101247"	"ENSG00000101247"	"NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]"	"20"	"NDUFAF5"	"nuOXPHOS"
"ENSG00000106603"	"ENSG00000106603"	"cytochrome c oxidase assembly factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:21868]"	"7"	"COA1"	"nuOXPHOS"
"ENSG00000109390"	"ENSG00000109390"	"NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]"	"4"	"NDUFC1"	"nuOXPHOS"
"ENSG00000110074"	"ENSG00000110074"	"FAD dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]"	"11"	"FOXRED1"	"nuOXPHOS"
"ENSG00000110717"	"ENSG00000110717"	"NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]"	"11"	"NDUFS8"	"nuOXPHOS"
"ENSG00000110955"	"ENSG00000110955"	"ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]"	"12"	"ATP5F1B"	"nuOXPHOS"
"ENSG00000111775"	"ENSG00000111775"	"cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]"	"12"	"COX6A1"	"nuOXPHOS"
"ENSG00000112695"	"ENSG00000112695"	"cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]"	"6"	"COX7A2"	"nuOXPHOS"
"ENSG00000113845"	"ENSG00000113845"	"translocase of inner mitochondrial membrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1321]"	"3"	"TIMMDC1"	"nuOXPHOS"
"ENSG00000115286"	"ENSG00000115286"	"NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]"	"19"	"NDUFS7"	"nuOXPHOS"
"ENSG00000115944"	"ENSG00000115944"	"cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]"	"2"	"COX7A2L"	"nuOXPHOS"
"ENSG00000116459"	"ENSG00000116459"	"ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]"	"1"	"ATP5PB"	"nuOXPHOS"
"ENSG00000117118"	"ENSG00000117118"	"succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]"	"1"	"SDHB"	"nuOXPHOS"
"ENSG00000119013"	"ENSG00000119013"	"NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]"	"2"	"NDUFB3"	"nuOXPHOS"
"ENSG00000119421"	"ENSG00000119421"	"NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]"	"9"	"NDUFA8"	"nuOXPHOS"
"ENSG00000123472"	"ENSG00000123472"	"ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]"	"1"	"ATPAF1"	"nuOXPHOS"
"ENSG00000123545"	"ENSG00000123545"	"NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]"	"6"	"NDUFAF4"	"nuOXPHOS"
"ENSG00000124172"	"ENSG00000124172"	"ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]"	"20"	"ATP5F1E"	"nuOXPHOS"
"ENSG00000125356"	"ENSG00000125356"	"NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]"	"X"	"NDUFA1"	"nuOXPHOS"
"ENSG00000126267"	"ENSG00000126267"	"cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]"	"19"	"COX6B1"	"nuOXPHOS"
"ENSG00000127184"	"ENSG00000127184"	"cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]"	"5"	"COX7C"	"nuOXPHOS"
"ENSG00000127540"	"ENSG00000127540"	"ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]"	"19"	"UQCR11"	"nuOXPHOS"
"ENSG00000128609"	"ENSG00000128609"	"NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]"	"7"	"NDUFA5"	"nuOXPHOS"
"ENSG00000130159"	"ENSG00000130159"	"ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]"	"19"	"ECSIT"	"nuOXPHOS"
"ENSG00000130414"	"ENSG00000130414"	"NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]"	"2"	"NDUFA10"	"nuOXPHOS"
"ENSG00000130770"	"ENSG00000130770"	"ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]"	"1"	"ATP5IF1"	"nuOXPHOS"
"ENSG00000131055"	"ENSG00000131055"	"cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]"	"20"	"COX4I2"	"nuOXPHOS"
"ENSG00000131143"	"ENSG00000131143"	"cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]"	"16"	"COX4I1"	"nuOXPHOS"
"ENSG00000131174"	"ENSG00000131174"	"cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]"	"X"	"COX7B"	"nuOXPHOS"
"ENSG00000131495"	"ENSG00000131495"	"NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]"	"5"	"NDUFA2"	"nuOXPHOS"
"ENSG00000133028"	"ENSG00000133028"	"synthesis of cytochrome C oxidase 1 [Source:HGNC Symbol;Acc:HGNC:10603]"	"17"	"SCO1"	"nuOXPHOS"
"ENSG00000135390"	"ENSG00000135390"	"ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]"	"12"	"ATP5MC2"	"nuOXPHOS"
"ENSG00000135940"	"ENSG00000135940"	"cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]"	"2"	"COX5B"	"nuOXPHOS"
"ENSG00000136521"	"ENSG00000136521"	"NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]"	"3"	"NDUFB5"	"nuOXPHOS"
"ENSG00000137288"	"ENSG00000137288"	"ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:21237]"	"6"	"UQCC2"	"nuOXPHOS"
"ENSG00000137806"	"ENSG00000137806"	"NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]"	"15"	"NDUFAF1"	"nuOXPHOS"
"ENSG00000138495"	"ENSG00000138495"	"cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]"	"3"	"COX17"	"nuOXPHOS"
"ENSG00000139180"	"ENSG00000139180"	"NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]"	"12"	"NDUFA9"	"nuOXPHOS"
"ENSG00000140740"	"ENSG00000140740"	"ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]"	"16"	"UQCRC2"	"nuOXPHOS"
"ENSG00000140990"	"ENSG00000140990"	"NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]"	"16"	"NDUFB10"	"nuOXPHOS"
"ENSG00000143252"	"ENSG00000143252"	"succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]"	"1"	"SDHC"	"nuOXPHOS"
"ENSG00000145494"	"ENSG00000145494"	"NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]"	"5"	"NDUFS6"	"nuOXPHOS"
"ENSG00000147123"	"ENSG00000147123"	"NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]"	"X"	"NDUFB11"	"nuOXPHOS"
"ENSG00000147684"	"ENSG00000147684"	"NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]"	"8"	"NDUFB9"	"nuOXPHOS"
"ENSG00000148290"	"ENSG00000148290"	"SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]"	"9"	"SURF1"	"nuOXPHOS"
